id|financing|financ_amount|discounts
2|||YES
3|||YES
7|YES|31.553268557810696|
11|||YES
12|||YES
15|YES|28.518747062204532|
18|||YES
21|||YES
23|YES|27.16403305948912|
25|||YES
27|||YES
28|||YES
31|||YES
32|||YES
40|||YES
44|||YES
47|||YES
59|YES|27.74017107096037|
63|||YES
76|||YES
81|||YES
84|YES|14.066924191628635|
94|||YES
95|||YES
97|||YES
98|YES|23.95972316057486|
99|||YES
107|YES|18.64764123167709|
116|||YES
128|||YES
130|||YES
133|||YES
139|||YES
142|||YES
146|||YES
149|||YES
154|||YES
162|YES|6.390754280269027|
165|||YES
169|YES|24.689150989402016|
173|||YES
175|||YES
180|||YES
186|||YES
187|||YES
188|YES|7.1059968655456585|
194|YES|14.596738055424195|
196|||YES
199|YES|5.035392408825135|
200|YES|16.39894247529788|
216|||YES
217|||YES
220|YES|34.94860730571229|
222|||YES
224|||YES
227|||YES
229|YES|9.919274215280009|
233|||YES
241|||YES
244|YES|34.288599662524874|YES
246|||YES
249|||YES
250|YES|16.35505990397376|
257|||YES
258|YES|33.1770188881394|
259|||YES
262|||YES
263|||YES
274|||YES
276|YES|22.101248280090328|
278|YES|25.508975882045714|YES
280|||YES
287|||YES
289|||YES
290|||YES
291|||YES
294|||YES
295|YES|8.477143322448182|
297|YES|9.772444423700419|YES
298|YES|34.125913238082106|
303|||YES
308|||YES
309|||YES
310|||YES
312|||YES
314|YES|25.17120120270752|YES
318|||YES
319|YES|27.65152674340181|
322|||YES
324|YES|22.276742649654217|YES
327|YES|27.64534169771727|YES
339|||YES
343|||YES
344|||YES
345|||YES
354|YES|19.842813291818448|
355|||YES
356|||YES
358|YES|9.78070290611399|
361|YES|20.776724039562453|YES
363|||YES
364|||YES
366|YES|23.501471072099275|YES
373|YES|18.75794858553891|
376|YES|38.49397650820026|
388|||YES
389|||YES
391|||YES
393|YES|32.37395433793468|
395|||YES
396|||YES
400|||YES
401|||YES
402|||YES
409|YES|28.38080187065446|
414|||YES
416|||YES
420|||YES
421|||YES
422|||YES
423|||YES
428|||YES
430|||YES
431|YES|14.833679578693571|
433|||YES
439|||YES
440|YES|11.00158064234224|
445|||YES
456|||YES
458|||YES
459|||YES
460|YES|27.63524481099645|
467|||YES
487|||YES
489|||YES
491|||YES
493|||YES
506|||YES
508|||YES
512|||YES
516|||YES
521|YES|13.49959319655756|YES
532|||YES
534|||YES
536|||YES
537|YES|17.87930257280597|
542|||YES
546|||YES
549|||YES
550|||YES
554|||YES
558|||YES
566|||YES
571|YES|12.329799274876619|
572|||YES
575|YES|35.85922004139497|
577|YES|12.830043233548816|YES
580|||YES
582|YES|34.839342652422474|
584|YES|39.20626328774696|YES
592|YES|34.296679158156536|
594|||YES
597|YES|17.801654850834254|
598|||YES
601|||YES
606|||YES
607|YES|15.266320619634122|
617|||YES
622|||YES
624|||YES
627|||YES
628|||YES
631|||YES
634|||YES
643|||YES
646|||YES
667|||YES
668|YES|11.727815677742758|YES
669|||YES
678|||YES
680|||YES
683|||YES
687|||YES
697|YES|32.2320538398427|
701|||YES
702|||YES
711|||YES
712|YES|6.658876454867513|
715|||YES
719|YES|28.89125576438509|
724|YES|35.62769051874699|
733|||YES
735|YES|15.542471460967569|
736|||YES
742|||YES
748|YES|17.173730422734607|
755|||YES
760|||YES
770|YES|7.607001304565084|
771|YES|16.869772369732182|
774|||YES
775|||YES
786|||YES
788|||YES
790|||YES
793|||YES
795|||YES
799|||YES
800|||YES
801|YES|28.200440541006827|
805|||YES
810|||YES
814|||YES
821|||YES
825|||YES
858|YES|23.517469631023868|
861|||YES
865|||YES
868|YES|15.40351953827621|
870|YES|30.2157567400776|
871|||YES
875|||YES
880|||YES
885|||YES
889|||YES
890|YES|12.391435685314852|YES
897|YES|15.818354963963154|YES
903|||YES
904|||YES
906|YES|38.00241653567935|YES
918|YES|32.26725871730489|
935|||YES
938|||YES
940|YES|33.59176619370526|
943|||YES
949|||YES
954|||YES
956|||YES
958|||YES
962|||YES
965|||YES
970|||YES
971|YES|22.209177871162137|
973|||YES
975|YES|21.192388892920388|YES
979|||YES
980|YES|11.340435675189786|YES
983|||YES
985|||YES
987|||YES
990|YES|15.737283061577564|
1003|||YES
1004|||YES
1009|||YES
1017|||YES
1019|||YES
1021|||YES
1027|||YES
1048|||YES
1054|||YES
1055|||YES
1063|||YES
1071|||YES
1079|YES|16.20138233880287|
1081|||YES
1082|YES|7.451747388977046|
1083|||YES
1085|||YES
1089|YES|20.16336682341481|YES
1097|||YES
1103|YES|37.46080252828042|
1106|YES|32.618818082158754|
1108|||YES
1110|||YES
1115|||YES
1116|||YES
1117|YES|23.35721356736147|
1118|||YES
1122|||YES
1124|YES|9.302645759202608|
1130|||YES
1131|||YES
1141|YES|28.9897319877518|
1143|||YES
1145|YES|11.126030439517233|YES
1147|||YES
1149|YES|15.415493194397152|YES
1150|||YES
1153|||YES
1154|||YES
1157|||YES
1160|||YES
1161|YES|36.20126068547575|
1163|||YES
1178|YES|8.795982985313529|
1187|YES|23.375747283135386|
1189|||YES
1192|||YES
1193|YES|30.44066448791769|
1207|||YES
1208|||YES
1214|||YES
1229|YES|18.64512746407349|
1232|||YES
1234|YES|22.479260076862094|
1236|||YES
1238|||YES
1243|||YES
1245|||YES
1258|||YES
1261|YES|8.231117811625449|
1271|YES|15.425065198603928|YES
1278|||YES
1279|||YES
1281|YES|33.326185907091386|
1286|||YES
1290|||YES
1297|||YES
1299|||YES
1304|||YES
1305|YES|36.522632120528975|
1306|||YES
1309|YES|10.056652335523296|
1324|YES|33.90146395519835|
1326|||YES
1328|||YES
1331|YES|11.155369706263015|
1332|||YES
1339|||YES
1345|||YES
1346|||YES
1351|YES|35.96123172101864|
1355|||YES
1357|||YES
1367|||YES
1381|YES|8.261235011386628|
1387|||YES
1388|||YES
1392|YES|19.046488843184726|
1393|||YES
1397|||YES
1399|||YES
1400|||YES
1401|||YES
1402|||YES
1405|||YES
1422|YES|32.30938428297267|
1436|||YES
1441|||YES
1444|||YES
1453|YES|6.856859315183137|
1461|||YES
1462|YES|36.46887712141545|
1463|||YES
1467|||YES
1469|YES|10.959139053179591|
1471|||YES
1476|||YES
1481|||YES
1488|||YES
1490|||YES
1491|||YES
1495|||YES
1496|YES|20.8580854076648|
1508|||YES
1510|YES|15.986685967153615|
1521|||YES
1529|YES|15.2567965248441|YES
1531|YES|28.949303444405146|
1532|||YES
1536|||YES
1538|YES|27.53694145148929|
1540|||YES
1545|||YES
1546|||YES
1552|||YES
1553|||YES
1556|||YES
1561|YES|11.76233753269143|
1563|YES|5.474158324109276|
1564|||YES
1565|||YES
1567|||YES
1568|||YES
1569|YES|17.50539137273213|
1578|||YES
1579|||YES
1581|||YES
1584|||YES
1591|||YES
1598|||YES
1601|||YES
1603|||YES
1604|||YES
1606|||YES
1607|||YES
1611|||YES
1617|||YES
1618|||YES
1622|||YES
1633|YES|19.343332814001716|
1634|||YES
1635|YES|11.052437535106547|YES
1636|||YES
1637|||YES
1638|||YES
1643|||YES
1648|||YES
1650|||YES
1655|||YES
1656|||YES
1664|||YES
1669|YES|10.959276287784084|
1670|||YES
1683|YES|38.41486000095311|
1684|YES|20.043643750176976|
1686|||YES
1692|||YES
1708|||YES
1709|||YES
1713|YES|15.133414915682314|
1714|||YES
1732|||YES
1733|||YES
1737|||YES
1738|||YES
1750|||YES
1752|YES|30.40586268862956|
1754|||YES
1760|||YES
1761|||YES
1783|||YES
1785|YES|35.218611846426114|
1786|||YES
1788|||YES
1794|||YES
1795|YES|28.63123543956647|YES
1799|YES|28.552171762853664|
1801|||YES
1806|||YES
1811|YES|26.406903473658446|
